year,song_title,release_date,release_title,track_position,length_seconds
1964,Anna (Go to Him),1964-01-10,Introducing… The Beatles,1-3,177
1964,Chains,1964-01-10,Introducing… The Beatles,1-4,145
1964,Boys,1964-01-10,Introducing… The Beatles,1-5,146
1964,Love Me Do,1964-01-10,Introducing… The Beatles,1-6,141
1964,P.S. I Love You,1964-01-10,Introducing… The Beatles,1-7,124
1964,Baby It’s You,1964-01-10,Introducing… The Beatles,1-8,160
1964,Do You Want to Know a Secret,1964-01-10,Introducing… The Beatles,1-9,117
1964,A Taste of Honey,1964-01-10,Introducing… The Beatles,1-10,123
1964,There’s a Place,1964-01-10,Introducing… The Beatles,1-11,110
1964,Twist and Shout,1964-01-10,Introducing… The Beatles,1-12,154
1964,I Saw Her Standing There,1964-01-10,Introducing… The Beatles,1-1,175
1964,Misery,1964-01-10,Introducing… The Beatles,1-2,105
1964,Anna (Go to Him),1964-01-10,Introducing… The Beatles,1-3,177
1964,Chains,1964-01-10,Introducing… The Beatles,1-4,146
1964,Boys,1964-01-10,Introducing… The Beatles,1-5,147
1964,Love Me Do,1964-01-10,Introducing… The Beatles,1-6,141
1964,P.S. I Love You,1964-01-10,Introducing… The Beatles,1-7,124
1964,Baby It’s You,1964-01-10,Introducing… The Beatles,1-8,160
1964,Do You Want to Know a Secret,1964-01-10,Introducing… The Beatles,1-9,120
1964,A Taste of Honey,1964-01-10,Introducing… The Beatles,1-10,125
1964,There’s a Place,1964-01-10,Introducing… The Beatles,1-11,113
1964,Twist and Shout,1964-01-10,Introducing… The Beatles,1-12,153
1964,I Want to Hold Your Hand,1964-01-13,I Want to Hold Your Hand / I Saw Her Standing There,1-1,147
1964,I Saw Her Standing There,1964-01-13,I Want to Hold Your Hand / I Saw Her Standing There,1-2,175
1964,Love Me Do,1964-01-16,"Love Me, Do / I Saw Her Standing There",1-1,141
1964,I Saw Her Standing There,1964-01-16,"Love Me, Do / I Saw Her Standing There",1-2,170
1964,I Want to Hold Your Hand,1964-01-20,Meet The Beatles!,1-1,147
1964,I Saw Her Standing There,1964-01-20,Meet The Beatles!,1-2,177
1964,This Boy,1964-01-20,Meet The Beatles!,1-3,135
1964,It Won’t Be Long,1964-01-20,Meet The Beatles!,1-4,136
1964,All I’ve Got to Do,1964-01-20,Meet The Beatles!,1-5,128
1964,All My Loving,1964-01-20,Meet The Beatles!,1-6,130
1964,Don’t Bother Me,1964-01-20,Meet The Beatles!,1-7,151
1964,Little Child,1964-01-20,Meet The Beatles!,1-8,110
1964,Till There Was You,1964-01-20,Meet The Beatles!,1-9,140
1964,Hold Me Tight,1964-01-20,Meet The Beatles!,1-10,154
1964,I Wanna Be Your Man,1964-01-20,Meet The Beatles!,1-11,122
1964,Not a Second Time,1964-01-20,Meet The Beatles!,1-12,127
1964,I Want to Hold Your Hand,1964-01-20,Meet The Beatles!,1-1,147
1964,I Saw Her Standing There,1964-01-20,Meet The Beatles!,1-2,177
1964,This Boy,1964-01-20,Meet The Beatles!,1-3,135
1964,It Won’t Be Long,1964-01-20,Meet The Beatles!,1-4,136
1964,All I’ve Got to Do,1964-01-20,Meet The Beatles!,1-5,128
1964,All My Loving,1964-01-20,Meet The Beatles!,1-6,130
1964,Don’t Bother Me,1964-01-20,Meet The Beatles!,1-7,151
1964,Little Child,1964-01-20,Meet The Beatles!,1-8,110
1964,Till There Was You,1964-01-20,Meet The Beatles!,1-9,140
1964,Hold Me Tight,1964-01-20,Meet The Beatles!,1-10,154
1964,I Wanna Be Your Man,1964-01-20,Meet The Beatles!,1-11,122
1964,Not a Second Time,1964-01-20,Meet The Beatles!,1-12,127
